,user_id,business_id,text,date,compliment_count
1160,HG_-DYGnFv3QwnFtB3GVAg,GIPY7lBIIY8ITSfu63q-YQ,Watching Winnie The Pooh with Deven & Ethan on a HOT Monday afternoon.,2011-07-25 17:13:08,0
1344,XChCfeJ6Yx2NDJIpIgRhyg,c9o0sBdEvER2nBeZ6HS9pw,"living life a 1/4 mile at a time, watching fast and the furious 6 oh yeah!",2013-05-28 21:58:17,0
1425,M9rRM6Eo5YbKLKMG5QiIPA,GAOeyq-7gt9QByhdcAK3cQ,Dark Knight Rises IMAX,2012-07-27 06:02:40,0
1542,7uTXBHfU1_DCKVGmV1KRcA,h6Y1-KfN2XBkcrV85CS8yg,2016 still the best show in Az !!!!! Have fun,2015-12-31 16:19:42,0
1548,SvkOt67Q4pOw2oviK_13og,NdUuGRxEH0waBQbL6R7mmg,WTF? I'm being drag here against my will. I feel like I'm in Arizona! lol,2011-07-13 01:42:23,0
1596,UYcmGbelzRa0Q6JqzLoguw,K1ekU1q26tNrImHrt3rr2A,There was a rat in the theatre when I was there one time!,2010-11-21 18:58:35,0
1618,cZ16H_Fc3s2-2AYrs-LEJg,p0iEUamJVp_QpaheE-Nz_g,Last day of filming,2011-10-05 08:55:47,0
1823,xZhxXL2GJqJ_XGOswVG-iA,Z96TEJDXyUhCerS-9QllXw,Another great date nite,2012-05-19 02:06:32,0
1824,Cu9MQKVY2BEMCudwK9uSUA,sNBaDJM4Khm1BbrBRyrMVQ,Simple spot to engage in social awareness and communication,2012-04-02 00:38:27,0
1874,U80q9lgHcGkjJxY1WJSXXw,MgnC3c3IByQkOJ0vyBKfUA,A friend invited me here once. I'm not a big fan of a play but I did appreciate and enjoyed the show. Food was good and have lots of variety.,2017-03-13 04:28:22,0
2023,yzwOcVyWuXQpmDlPXWw0Mw,dwogRZ8Vdu7Pd4qSN0UwXg,Excellent VIP 19+ movie going experience!  Definitely will be better when they actually finish building the facility.,2015-05-23 22:15:01,0
2049,qmjoMFMZdLH69_6eGTGDZw,HgwOtz8ObpFkzfNbtewwWw,Smells like feet in here.,2012-10-27 19:29:37,0
2082,vMf4nEiuCf7ig4k0fMNuzg,Q3G58vv1ClvH4re9QBsVgQ,Cine Capre. Always use wait for the cine capre,2014-04-05 22:01:14,0
2097,vPCIxplN7Oz-NB48iUQNfg,wBoyf4Rd5l6kEsSNgeqO2A,"seeing ""burt's buzz"" #tiff13 @tiff_net #tiff",2013-09-08 20:16:35,0
2282,KImDfKRpLV1vv7in15gehg,nQNjtPpAHw0A8FZj1hPajQ,Cone early for concerts to get best seats,2014-06-03 00:14:52,0
2388,nr2QuEyY_ZKicxnF4eCmLQ,2fqHO2vFbcwVV27c_Irm8Q,Bring a light blanket- can be a bit chilly,2015-05-16 02:15:14,0
2410,G43x7mt15BNyQBdpBcE7Qw,lqCJiHlxzRpuYt-u_XQUvg,Last Harry Potter movie tonight!,2011-07-15 06:27:56,0
2440,cPDVqc8zfMjeXvuIOKs6lQ,f4mh1Y0rnvbJRfQ3jPkqzQ,When I can't make it to Birkdale....this will do.,2010-12-03 16:04:40,0
2465,T0ua11LxP335TfFsuawbNw,BxKe9Xt_fN6qBzrTofHuEQ,Internship Time!!,2011-07-27 01:22:16,0
2546,_XcsG3krzuXLXaLDncBITQ,pi1DHl64UzYXkVuSwvsUwg,Movie time,2013-06-04 18:50:43,0
2636,9w4vI3LRTA4JdJyzOxeEMw,afqhAX425oLAbdpIP2hE8g,Love the new cups for 2011 :),2010-12-06 00:15:54,0
2778,BQkC6RneYfvfG6wRe0hsvQ,0QzCeORfF8EY34UODWRV9A,Corkage fee is $25 if you BYOB of wine.,2018-02-02 02:53:47,0
2835,PcBKCHMhV0pxmYjzGUKmYg,4RoTEeqB_MNn6yaqZmlZHg,Only theatre that shows my filipino movies!,2011-10-12 20:35:27,0
2907,_ir8NHMtV7KPTwmBmlkmQw,BxKe9Xt_fN6qBzrTofHuEQ,Snow white with soralala and FH!!! $5 tuesday ~ 21 and over movie! FU to the curly haired man and orange top female trying to cut us!!!,2012-06-06 04:14:03,0
2911,_5uUOcTyKK1pQYwAL-Xrnw,n-AQFKbW6MnpamdtA6ECpQ,Love the Breakfast Club Sandwich served in the AM. Love the $5 admission on shows before noon on the weekends!,2013-02-17 14:55:21,0
2929,6ZC-0LfOAGwaFc5XPke74w,zoODlH40edpJYLPLkHilNA,Great movie,2014-06-09 03:42:17,0
2982,WP7FsUsgNW24s7HH5xi7pg,Q3G58vv1ClvH4re9QBsVgQ,Star Trek baby!,2013-05-28 02:25:49,0
3073,PPxlsFQILSn4hpkgbrHH8g,F2DJHnTwMgzgGcl1lX8Q0A,"$5 for Harry Potter,  near empty theater. DEAL!",2011-07-20 05:36:17,0
3403,Ue_7yUlkEbX4AhnYdUfL7g,p4JsD_Ya0NRXNdnhbVBs0A,Next to the arcade and Ben & Jerry's.,2014-02-01 19:39:37,0
3653,r-zUIQPaHzvIyL93wQaoiQ,G7W2k1oyoWY8GkfWrgixRw,"They still use film. No DVD's. Plus, true Indie films every month.",2013-08-23 22:43:09,0
3764,udpfGxriuoBdWRBdplJl-w,4RoTEeqB_MNn6yaqZmlZHg,Taking Mom and Auntie to watch their filipino movie. Haha,2011-10-07 20:45:51,0
3766,uf1UdKswKWOqFLUvRvvbzA,bzWo5eA5zZjktINg8DdAjw,Hot food and alcohol in the cinema. What more can you ask for?,2013-09-07 23:44:07,0
3871,M9rRM6Eo5YbKLKMG5QiIPA,wxYpbaR3zQuMhgSbUym_xw,"finally here to see ""the intouchables.""",2012-07-25 23:06:59,0
4179,Gl9XFtwFgIifENxZKqRSfA,GAOeyq-7gt9QByhdcAK3cQ,Budget at least 15 minutes the for concession line.,2014-06-15 01:32:17,0
4225,jDeEwcpYK_AjfvpN-TlcXw,pJQSdbrtQQVstMUUIICSsA,I'm Batman..,2012-07-28 21:19:27,0
4230,AIRfHhHbSYz6MsZO4yCwQg,wYZoSBvIbJWvDl-ruZwJ7Q,Too humid to move...,2010-05-29 18:42:48,0
4405,aT_AzbpcsbodNNtFzPqRVg,q9wNJpZd1bx22PDpAbwZsA,MI4,2011-12-25 22:38:45,0
4432,---1lKK3aKOuomHnwAkAow,4RoTEeqB_MNn6yaqZmlZHg,Costco tix are best,2010-12-11 03:25:43,0
4461,FHm8NrTzmSkJUCQBjuc9nA,MM8n7SPaIuMlDGbUM5SZhA,John Carter 3D. And dessert. With my baby. Happy Birthday sweetheart!!!,2012-03-15 04:31:20,0
4626,LKfsu6hRdMhosIBs7CJXTw,AKPLL7N4yTidQF7xY8kneg,Yelp has this location misplaced also on the map,2013-05-26 02:39:43,0
4721,2gu5B_JbJlfZLhihSr-apQ,1wiv2BvvauMj8hS16UuEYw,Date night!!,2012-06-06 02:24:55,0
4784,2hyPOIjdK-nQZW6gDhqAng,nOidqR9yk6clKeXbuT_gZg,Killer Elite ROCKS!!! Theater is clean and inexpensive!  Tonight only 7 people in the whole theater.  Bliss!,2011-10-10 07:42:44,0
4791,7Xbgbb6-zHxeRrUYqyMSdQ,pi1DHl64UzYXkVuSwvsUwg,This idiot had his bluetooth flashing in his ear the ENTIRE movie!,2016-11-30 08:04:38,1
4794,Hi2O8HI-i9KfkAlJOdYzzw,x0dMACZ3NlDWTDyFAW0jHw,best theater weve ever been to in the USA. try the south west fried,2017-04-01 04:03:34,0
4795,_TdfTvc0y-aEBcLHgoXlSQ,p4JsD_Ya0NRXNdnhbVBs0A,The Girl With the Dragon Tattoo,2011-12-29 06:38:19,0
4883,-qV28-IoKgbdgX2UMuWkAg,ImU8asw-7e_9sZoDc2lzXA,New name no lines!,2010-07-03 00:00:25,0
4985,1Av1yTHSl4pi6MPMLC021A,-ipc5f0XiXwH3hbNnro54Q,Good movie theater but no paper towels in the women's restroom.,2011-04-08 21:29:22,0
5072,Xra8V8JrbB3YDXXp70L-Cw,1wiv2BvvauMj8hS16UuEYw,HAIR!,2010-12-08 02:23:48,0
5110,_-oTR-yaPtsgm5OGFFzr_g,JlnDcCfvrmo_cv8OOzhuoQ,"Horror film ""The Void"" will debut here Friday, 4/7/17! Check the absolutely revoltingly terrifying trailer at:
thevoidmovie.net
And bring an extra pair of drawers to the screening!",2017-02-26 15:51:34,0
5114,TBLdjYJMIDaM6dB23AenLw,TT4XW2WMG0PNyUIFBIINuA,"Holy remodel, well done Marquee!",2014-10-28 02:39:56,0
5150,U4qKtWpJgDdeA-nxqKU_jg,VOh-vGJlUJnaAb3tgPreQg,Cabin in the Woods!,2012-05-26 22:20:07,0
5167,c3JYQjsOjc-Em8-Z3j6wog,Q3G58vv1ClvH4re9QBsVgQ,Nanananana Nananana BATMAN!!!,2012-07-24 01:55:45,0
5193,_arAIQ4C_5MfB64ATD7W_w,ZJKvmjBinGXEagy7l1na7Q,"Elmo wants know if there will be a cameo by Captain Morgan, but that wouldn't make sense, he's Navy.",2011-07-22 06:50:22,0
5292,5jWaMozd4Ffi9YGwCC3QQw,sR0GYpPKs9CzixSLei03Vw,"AMC Stubs Rewards Program. BUY THIS!!
Free upgrades for Popcorn & Soda
$10 back for every $100 spent
Zero fees when purchasing tickets on-line!",2016-05-30 21:22:19,0
5322,Vc2LF9WWbzQ7LWdyOIMZEA,RxNPIAim-2fIw43IilR62g,Raisinettes and popcorn rocks...just sayn....,2013-12-29 03:45:59,0
5342,3Vs2S3FQF_xobyuimSayDQ,TCkmgOfreqwSZMTlTGRQhg,Social Network!,2010-12-19 20:32:34,0
5380,jfaz1aQqnkbtzQfQyCE8IA,73dPwH6vfycfRjuM9PGnbg,"$5 manatees (or matinees, your choice) on weekdays.",2012-05-21 17:26:32,0
5432,G_bJdUPCnL1x6dvRhyHNyw,BxKe9Xt_fN6qBzrTofHuEQ,Horror movie time,2012-10-26 02:07:55,0
5433,kBjlWLf5KIYLTkL_1zB7Tw,MM8n7SPaIuMlDGbUM5SZhA,Best movie theater in AZ!!!,2013-05-25 02:57:17,0
5630,HJj82f-csBI7jjgenwqhvw,vHyHNIhS1fVRplpA-Z9afQ,Check out the movies for sale!,2013-02-17 02:29:57,0
5684,QTIf73lnN4WFoaBKNGetyg,_98ytLdlPEDp0FTuO31R7Q,Hop,2011-04-10 23:13:27,0
5686,ImPKYrgX0kBaS3U5zfpjGw,8s1yvcfre7C6G_iONTPXAw,Such a cool video experience ...could be tough if you get sea sick easily,2016-05-01 23:45:12,0
5697,mY3NA8f6H0-i38SOjxyhFg,QAomAHvkk68GcHUfCmzeNg,"Balcony seats are great too 
There is a bar inside and close to all areas.
Enjoy!",2014-06-28 00:20:08,0
5817,cdCvHUFdssePxowTHIo3dQ,BxKe9Xt_fN6qBzrTofHuEQ,$5 Tuesday any movie,2012-07-21 23:38:44,0
5864,Usvn6LvVXlZFcLWqFS-L5g,Q3G58vv1ClvH4re9QBsVgQ,Candy or popcorn...I can't decide.,2011-08-08 01:55:46,0
5991,IoaB8996np4kiRGL_zcObQ,n-AQFKbW6MnpamdtA6ECpQ,"Search the yelp reviews for the word ""smell"".",2016-01-13 03:24:02,0
6161,c7pPoQPgSUZERW8XVfV0gQ,nkK5-IlOo7cy05R5AuMPfw,Ask if the consession stands are open passed the ticket taker save you some time,2016-09-09 16:13:34,0
6175,DVyEHrFu1i5GXxv8edUWRg,BxKe9Xt_fN6qBzrTofHuEQ,Bb is taking me to watch the HUNGER GAMES  yay lol #moviedate,2012-03-24 04:49:20,0
6200,-5e4VTnu_pR4Gpv3VSncaw,rPqXbho0dwETvjUxW88Ttw,"There aren't any extendable footrests in row F. Sadly, I cannot go full sloth.",2016-02-13 19:01:50,0
6236,LnX7-WmpML5bY6Fzlz468g,F2DJHnTwMgzgGcl1lX8Q0A,"Watch Maleficent.. should be good , dark and awesome.",2014-06-04 01:11:35,0
6273,T_RiQ-TOeZf8N2kiCNCiSg,K1ekU1q26tNrImHrt3rr2A,The Watch,2012-07-30 01:54:07,0
6278,Wgr1NEK0KsTG4l9zNPaZSw,AKPLL7N4yTidQF7xY8kneg,Get the carmel popcorn!,2011-10-15 04:06:00,0
6360,Io5GxWjhtxqiWnoA-6Fh-w,NdUuGRxEH0waBQbL6R7mmg,"Love the buffet, good mix of games, cheap table games, and a good mix of customers.",2012-03-20 18:51:25,0
6497,TnhTyk1qfJ8jL2bHpeTrhQ,fZioXnBVf-KAsCFX-P2whg,"3 ticket self-serve kiosks, and people rarely use them. Last time we went, the line was long and not one person was at the kiosks.  We got in so fast.",2013-12-14 04:05:25,0
6502,rEVrHXlCNGQNOfWDKxOnTQ,9pg2QPvwLomBLo9R-J2_Yw,Go here for the premiers. People seem to forget about this place and don't go here. Way better experience.,2015-05-17 05:33:55,0
6699,M9TjYmTgHayJ22cNkyvW_g,Xcj-n1DwX3KcOjvIwLo0jw,A small popcorn and one ticket now costs...$17.50. :/,2015-01-12 00:22:15,0
6751,Xb4aKpOlHkp9dmgTa__Q4g,SMRg_KiTXeUb6xYlB98ocQ,My brand new car got hit and there was no cameras so nothing I could do!   And my whole front right panel I'm going to have to get fixed ... :(,2016-01-08 05:15:54,0
6779,qxuJk8rRr2Fm7OphnzOkoQ,hGL0I-qv771etyNBxmOF2w,"The floor is not at a high enough angle to account for height differences so if you're height challenged, then it's best to sit in the front row of the mezzanine.",2018-01-17 11:55:52,0
6788,MyW2jAJ_wyVsbqWLlCNIxA,1wiv2BvvauMj8hS16UuEYw,"Seeing Kinky Boots with my daughter in law. So excited will write more later. I can tell you
Parking sucks",2014-09-20 02:31:14,0
6790,4wp4XI9AxKNqJima-xahlg,Aror3Q3exo1uWxsH4eWkzA,Superior Doughnuts!,2011-04-21 23:11:58,0
6832,wVbz8w4h0cROQZneFimAgA,zoODlH40edpJYLPLkHilNA,Luxury theater is awesome!!,2014-06-14 00:34:56,0
6853,EUN1wEPh0hmjfYN9nbt4zw,nJUsNx-LKAZ0FHGm9mnmaw,Kind of silly you have to pay a surcharge for Costco tickets; and there's no option to purchase online with these. Bleh,2015-09-14 01:41:30,0
7005,vMf4nEiuCf7ig4k0fMNuzg,tuIg103yDqCEcTk5J_h8ow,Check in to receive a discount.,2014-06-03 02:23:25,0
7024,sYl1niCXXzFbyI4UPouM3w,imhibWA4C4M7drQSeZZU9g,Come after hours to get a no waiting picture in the Iron Throne from Game of Thrones.,2012-03-15 03:46:53,0
7039,vWP8-aQX0rYJszqkWVL7Ew,NW366Ota9w52nYofW99u1g,"Yelpers that complain about not having stadium seatings should keep to reviewing food. At least that subject they might know a little about, maybe.",2013-05-25 21:35:06,0
7050,7J6Hb7VuTsJq50iiNwqvCg,0QzCeORfF8EY34UODWRV9A,I see folks with mullets. Time warp!!,2011-12-29 03:10:58,0
7062,6rGVoAI0Bl8ZEbMNJWOK3w,1wiv2BvvauMj8hS16UuEYw,Finally get to see Billy Elliot!,2011-04-28 02:14:08,0
7194,8iRZIdkNbL66Ny4iLVcPxQ,B6YIrpQnwKPidH0Vlh9f9Q,@HP,2010-11-21 23:37:02,0
7372,uEvusDwoSymbJJ0auR3muQ,-ipc5f0XiXwH3hbNnro54Q,Large popcorn $8,2012-10-14 22:37:36,0
7400,UyuWAvDcLp4zU1Wfc1PNXg,Q3G58vv1ClvH4re9QBsVgQ,"Grab a Guiness and whiskey at the Irish bar on the way out, reverse happy hour at 9 pm",2011-01-13 01:42:56,0
7430,JhV-D6a2tL6xpzGdBruepg,p0iEUamJVp_QpaheE-Nz_g,Hitting this Badass Dash!,2013-05-25 14:26:08,0
7790,coKnuxLznH0FHb34m4ZLCw,p0iEUamJVp_QpaheE-Nz_g,Gambling n Stuff,2011-10-04 08:23:45,0
7798,kIV04ZOFnyLcK93XUQh7eQ,m6PIHmB4lWKmZz4oMGV_uw,@ Dictator. I'll  go again with you Heyward!,2012-05-18 17:10:59,0
7830,r0j4IpUbcdC1-HfoMYae4w,pi1DHl64UzYXkVuSwvsUwg,1.00 movies on Tuesday !,2014-06-19 00:54:27,0
8014,z-0oMxk_Xg1mhEAydCJ4KQ,h6Y1-KfN2XBkcrV85CS8yg,Love this place! Get row F if you can!,2012-11-25 05:13:25,0
8249,OrJtep6DewROZMCHOulCaw,NdUuGRxEH0waBQbL6R7mmg,Mission imposible,2011-12-30 03:29:47,0
8391,xCNhZtsdXOPr8AwMO8gUuw,1zOOzjf51hN_xgkxhaS4QA,The Dark Knight Rises!!,2012-07-21 22:49:22,0
8421,ewDNa_FRoG71UFm56eTGkw,p0iEUamJVp_QpaheE-Nz_g,Bowl week!,2011-12-30 22:39:29,0
8436,lQTk7Nl15Dwq-qOHVzBHQg,p4JsD_Ya0NRXNdnhbVBs0A,Watching Diary of a Wimpy Kid with Briana n Dylan,2011-04-18 22:19:55,0
8614,8mjlFMAO4nq13sTPYvkFbw,Q3G58vv1ClvH4re9QBsVgQ,Seeing the ides of march,2011-10-16 21:20:14,0
8656,qvvpeBLkV4Shx0Teh87lPA,dRDd9zMMH96jl_BlE2-jkA,Try upper level parking by Sears during holiday season.,2010-12-22 02:09:08,0
8707,m1TWIikS46S-THmbGUSEHg,fZioXnBVf-KAsCFX-P2whg,...Carter and such!,2012-03-26 05:26:30,0
8723,0imBxzOZHCdpRg3hILZfIA,cqjqc8pd3SCxTDWiH49Q5Q,21 jump street. All the employees here are very nice and friendly.,2012-03-22 21:11:49,0
8770,PPxlsFQILSn4hpkgbrHH8g,xJzJpTYC_1k_EE0AWTOPXw,Real Steel. Hope its good.,2011-10-09 05:45:14,0
8945,jHX2qMpRIg-W32vJgi50lw,xnki9gbekoPntcxZhGx1nw,Expecto Patronum...finally time for Harry Potter!,2011-07-15 22:40:17,0
8986,imK7v4l8CH_9r7ReMipA8g,JSjMfBQ654qyfVdE1CY76w,Le meilleur cinéma downtown!  J'm'y sens bien depuis 1999 ;),2015-05-25 22:49:28,0
9045,n_Vzepb6aEwmPDtz-ISshA,-ipc5f0XiXwH3hbNnro54Q,Act of valor...,2012-02-26 23:29:58,0
9104,vucdcXAh4tMgnjDRrK8JNQ,nCAqeub9ERwzSoQwGzr1QQ,Very nice theater and great location.,2013-09-28 18:52:17,0
9429,jKx0XOTrnT6gHiiRZ-UVKg,hhoKM8RdfYo97Y72LqmOgw,Get the Regal Card.  Decent discounts and free popcorn if you go to movies on a regular basis,2012-10-09 02:20:52,0
9612,9G-iVpUwnPUz8rbcQmKajw,GAOeyq-7gt9QByhdcAK3cQ,Dragon tattoo,2011-12-24 21:24:44,0
9744,sB9W6Tbr1A-ERfUXwJxirQ,uH8o7gBowYmbToJqHsbpxg,Staff here is always extremely polite and helpful :),2013-02-19 01:21:19,0
9904,DVyEHrFu1i5GXxv8edUWRg,jobP3ywRd3QNZ_GCoPG2DQ,Harry potter in IMAX 3D w my babe,2011-07-20 05:41:28,0
9954,1GdHFA1yLrV8qgjs7duR_A,4RoTEeqB_MNn6yaqZmlZHg,Forever & a Day ;D,2011-07-13 00:07:52,0
10113,GCp8r28v186HKLrXB7pG2g,krCiaZqjU2CeOfwoJWctDg,Batman,2012-07-24 21:32:59,0
10262,w3izOrjKX12NYJAdexrOsg,NW366Ota9w52nYofW99u1g,FAST FIve!!,2011-04-30 07:36:26,0
10293,d8z9uG3SHTgkCNj5iVcG8w,F2DJHnTwMgzgGcl1lX8Q0A,Lots of places to eat in this complex!,2012-10-07 23:18:43,0
10373,u0bAtrQrgEoHjFybAl9FeQ,jobP3ywRd3QNZ_GCoPG2DQ,$5 movie Mondays! Spread the word...,2013-05-21 04:23:06,0
10381,4M25m7sE45Q_hNOch4b8fA,-ipc5f0XiXwH3hbNnro54Q,Black swan!,2010-12-28 19:50:16,0
10480,xtwoOTTOuZrXj4GQtsueuA,xnki9gbekoPntcxZhGx1nw,IMAX audio is amazing. You feel it in your chest.,2011-10-15 16:54:35,0
10556,5mAtWfXaPoy9xNQ2n7GNig,yV3ak7F2t3n8SO7QsvLgEA,They don't serve coffee.,2016-12-07 01:59:22,0
10557,ciXjBfJrAEteIKpzZg4I9g,GIPY7lBIIY8ITSfu63q-YQ,Go Aaron Cross!,2012-08-10 15:38:36,0
10700,60JrvkRZ8v58-XkZ8B-CQw,_98ytLdlPEDp0FTuO31R7Q,Concession guy seems like he didn't want to be there.,2015-05-24 16:19:35,0
10908,MNuHrKCahtRIKbvA90OaZA,MM8n7SPaIuMlDGbUM5SZhA,Dining and reclining at Die Hard 27. Ha.,2013-02-18 22:48:11,0
10989,WC1QjEVkGosEW1dmX3ZGrA,nvBhlpH8TWbCl70_30gqxg,Get there early to get wheelchair seats,2018-02-03 23:15:33,0
11044,a9dm1z-fW4ExG190j08RJw,pJQSdbrtQQVstMUUIICSsA,Fandango.com to buy tix online and just walk right in.,2015-01-16 01:33:07,0
11254,DASkWfrV6kWHE_4xC7BkYQ,pi1DHl64UzYXkVuSwvsUwg,The Other Guys for a buck,2010-11-21 01:00:54,0
11322,HcJEucT51evFReaaa_ID_Q,BxKe9Xt_fN6qBzrTofHuEQ,$6 Tuesday's!!,2011-10-05 02:06:05,0
11468,0trQpAFas46qG3b3qxkilg,n-AQFKbW6MnpamdtA6ECpQ,Sorry...we have no butter. Seriously? You're a movie theater. Need I say more?,2015-01-21 21:42:27,0
11559,8YJvFBE0hWhp_HgxI-tAMA,ZJKvmjBinGXEagy7l1na7Q,"BONUS TIP:  You can usually buy AMC gift cards on eBay for 20% off the list price.  So if you were to purchase a $25 gift card, you would only pay $20. You can then load it right into the AMC app and throw the card or code away.",2016-09-16 23:52:43,0
11632,Oz8Bp1NY-Szz4lvSbVsV4Q,-ipc5f0XiXwH3hbNnro54Q,Time for some Inception...,2010-07-31 01:53:45,0
11696,8iRZIdkNbL66Ny4iLVcPxQ,B6YIrpQnwKPidH0Vlh9f9Q,@ Cowboys and Aliens,2011-07-31 20:05:33,0
11731,zpnDr3EBaVU8QPNHE3eDbg,-ipc5f0XiXwH3hbNnro54Q,Horrible Bosses!,2011-07-22 05:16:07,0
11755,XChCfeJ6Yx2NDJIpIgRhyg,B7crzLt3Cmq2Uy3JOiMnRw,Dark Knight!,2012-07-24 23:39:32,0
11870,XEHZoTDWjw3w-gcQyYIe4g,krCiaZqjU2CeOfwoJWctDg,Ted...,2012-07-29 17:51:31,0
11882,2EuPAGalYnP7eSxPgFCNDg,p4JsD_Ya0NRXNdnhbVBs0A,Cough up 7.50 if you want Cheetos Popcorn. Sold exclusively and available at select Regal theaters.,2017-12-25 22:17:10,0
11900,g89D3f_9GnTzHPNoxIpuKQ,p0iEUamJVp_QpaheE-Nz_g,"My first love, Quarter Horses. At the Silver Dollar Circuit.",2012-03-18 00:04:28,0
11905,btk3ZCxMwLxVU5iQNJ8JNA,xJzJpTYC_1k_EE0AWTOPXw,Horrible Bosses,2011-07-12 01:39:38,0
12021,FfAv2iM5wmFgmoXvLJ_JUA,9EytPnh_lzU6STtd6cljCQ,Yeah- girls night out!,2011-10-08 02:11:29,0
12185,2rZL_6dxzOAOPIosdDjZsg,BxKe9Xt_fN6qBzrTofHuEQ,Harry Potter!!!!!!!!!!! =D,2011-07-16 03:08:11,0
12229,Y-0ERxJTCOhOwehlA_JI0g,5c19hhJGZ630iCxo5egLuA,Only ones in the theater!,2012-01-01 19:24:24,0
12240,vPJ2viVSZ2761UMxYMqwfQ,-ipc5f0XiXwH3hbNnro54Q,date night!!! oooo ya!!!,2012-01-17 03:57:58,0
12397,8NPnK5h5Te91Ot6nbX9a5g,p0iEUamJVp_QpaheE-Nz_g,Fave bowling spot!,2012-05-27 18:33:18,0
12430,yis0tDX83YnFLzUbKZ_KFg,F8FHXQBpMu1erLSTwUxYeQ,Iron Lady on the BIG screen! Meryl Streep has never been so big.,2012-01-15 02:16:05,0
12475,vIsEJsMbPGOVsSp04cc6EQ,HZi427Fb9-lpVdwZKTk7yA,Pronounce this:  christislamakwansakah.  Politically correct holiday greeting.,2010-12-18 04:09:35,0
12638,DASkWfrV6kWHE_4xC7BkYQ,vDhifJNAtVFGjqJM5hFQkg,Bowling: locals get 1st game free w/ id,2010-12-16 05:00:09,0
12697,Yi5KGA-QvolRWNeDfzEKrw,BQeIEeMj5_K5Az1DbSHSsw,"Right off 271. Nice Cinemark, but I'd go to Valley View unless too far.",2012-05-25 20:12:27,0
12718,HmMedCwbr0j-Mle67x7aoA,Y6F9a6Rv_4nhDIZ2VfQFrg,Loved this movie theater.,2015-01-10 14:37:07,0
12721,jJWAf2Vi5slYW7hA4tNueg,sR0GYpPKs9CzixSLei03Vw,Captain america was good!!  :-),2011-08-09 20:10:19,0
12739,9M0Fm3mYVL0IYyeD48gudw,fZioXnBVf-KAsCFX-P2whg,Family love movie night. Movie theater is always clean excellent service!,2015-02-14 08:03:26,0
12740,vLViu2g_fVFqexb-NBhx4Q,cqjqc8pd3SCxTDWiH49Q5Q,21 jump street!,2012-03-17 06:24:01,0
12836,T1jicY-vxpCOTl5SIdVLxg,MM8n7SPaIuMlDGbUM5SZhA,Happy friendship day!!! xoxoxo,2012-08-05 18:54:25,0
12887,-0pk51AO1qQtkGukYaZ2rA,nkK5-IlOo7cy05R5AuMPfw,Has gone downhill since they've started to weed out and fire old staff. What a shame,2016-06-12 18:32:36,0
12925,0QREkWHGO8-Z_70qx1BIWw,4R-tCDl-s4m89M1KJmiKOw,Great theater! AND they validate your parking :),2012-07-28 23:45:01,0
