,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,hours
2247,dwogRZ8Vdu7Pd4qSN0UwXg,Cineplex Cinemas Markham and VIP,"179 Enterprise Boulevard, Suite 169",Markham,ON,L6G 0E7,43.848892,-79.323859,3.5,118,1,"{'HasTV': 'True', 'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'True', 'RestaurantsTakeOut': 'False', 'OutdoorSeating': 'False', 'RestaurantsAttire': ""'casual'"", 'RestaurantsReservations': 'False', 'GoodForKids': 'True', 'BikeParking': 'True'}","Arts & Entertainment, Cinema",
3146,cPPYaBM07eTlkknpvVpW1Q,The Theatre Centre,1115 Queen Street W,Toronto,ON,M6J 3T4,43.6431093,-79.4232584,4.5,5,1,{'GoodForKids': 'True'},"Cafes, Performing Arts, Arts & Entertainment, Cinema, Restaurants","{'Monday': '8:0-16:0', 'Tuesday': '8:0-16:0', 'Wednesday': '8:0-16:0', 'Thursday': '8:0-16:0', 'Friday': '8:0-16:0', 'Saturday': '9:0-17:0', 'Sunday': '9:0-17:0'}"
3257,VkOyrR6CDfhZ7hh4yOvhiw,Harkins Theatres Chandler Fashion 20,3159 W Chandler Blvd,Chandler,AZ,85226,33.3053693,-111.900649,4.0,138,1,"{'GoodForKids': 'True', 'RestaurantsReservations': 'False', 'RestaurantsAttire': ""'casual'"", 'RestaurantsDelivery': 'False', 'RestaurantsPriceRange2': '1', 'RestaurantsTakeOut': 'False'}","Cinema, Arts & Entertainment","{'Monday': '10:0-23:0', 'Tuesday': '10:0-23:0', 'Wednesday': '10:0-23:0', 'Thursday': '10:0-23:0', 'Friday': '10:0-23:0', 'Saturday': '10:0-23:0', 'Sunday': '10:0-23:0'}"
3439,NHKRAAJm2KbWdMox3pSGtA,Cinemark Movies 10,9508 Northeast Ct,Matthews,NC,28105,35.1396530356,-80.7151050121,3.5,3,1,{'GoodForKids': 'True'},"Arts & Entertainment, Cinema",
4500,o90H4ryS1MmRaXKtExgP1w,Five Drive-In Theatre,2332 Ninth Line,Oakville,ON,L6H 7G9,43.5042914116,-79.689386174,3.5,46,1,{'GoodForKids': 'True'},"Arts & Entertainment, Drive-In Theater, Cinema","{'Monday': '19:30-1:0', 'Tuesday': '19:30-1:0', 'Wednesday': '19:30-1:0', 'Thursday': '19:30-1:0', 'Friday': '19:30-1:0', 'Saturday': '19:30-1:0', 'Sunday': '19:30-1:0'}"
4852,7KmKmTZ685CsTIdiPMlrNA,Dam Short Film Festival,"1022 Nevada Hwy, Ste 204",Boulder City,NV,89005,35.9751911,-114.8450812,5.0,4,1,,"Yelp Events, Cinema, Local Flavor, Arts & Entertainment",
5055,6DoaCYNBhdm_yIb0ekCSXQ,Alumnae Theatre,70 Berkeley Street,Toronto,ON,M5A 2W6,43.6527507,-79.3649542,4.0,4,1,{'GoodForKids': 'False'},"Cinema, Performing Arts, Arts & Entertainment",
5235,oDjhb1ohaO5cGfHuDUXfJw,Espace Libre,1945 Fullum Rue,Montréal,QC,H2K 3N3,45.5303466,-73.5542472,4.0,3,1,{'GoodForKids': 'False'},"Arts & Entertainment, Performing Arts, Cinema",
5856,wOcjxydfqz99U5rFa2f2ng,Family Movie Night at Container Park,707 Fremont St,Las Vegas,NV,89101,36.1680327373,-115.1382620049,4.0,4,1,{'GoodForKids': 'True'},"Arts & Entertainment, Cinema",
5867,f4mh1Y0rnvbJRfQ3jPkqzQ,AMC Concord Mills 24,8421 Concord Mills Blvd,Concord,NC,28027,35.3705892,-80.7261556,4.0,52,0,{'GoodForKids': 'True'},"Cinema, Arts & Entertainment",
6222,7K9EGbodeoDoOzQvkNPoAw,Cinéma Cineplex Odeon Brossard et VIP,9350 Boulevard Leduc,Brossard,QC,J4Y 0B3,45.445718,-73.434215,4.0,27,1,{'GoodForKids': 'True'},"Cinema, Arts & Entertainment",
6388,nOidqR9yk6clKeXbuT_gZg,Cinemark Century 16 Movie Theater,"9090 Alta Dr, Ste 100",Las Vegas,NV,89145,36.1691108,-115.2913032,3.5,82,1,{'GoodForKids': 'True'},"Cinema, Arts & Entertainment","{'Monday': '11:0-23:30', 'Tuesday': '11:0-23:30', 'Wednesday': '11:0-23:30', 'Thursday': '11:0-23:30', 'Friday': '11:0-23:30', 'Saturday': '11:0-23:30', 'Sunday': '11:0-23:30'}"
6746,NW366Ota9w52nYofW99u1g,United Artists Showcase Theatre 8,3769 Las Vegas Blvd S,Las Vegas,NV,89109,36.1043163819,-115.1721412062,2.5,70,0,{'GoodForKids': 'True'},"Cinema, Arts & Entertainment, Performing Arts","{'Monday': '11:0-23:0', 'Tuesday': '11:0-23:0', 'Wednesday': '11:0-23:0', 'Thursday': '11:0-23:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '11:0-23:0'}"
6909,WgD4husYU3KNF1nOlg2MEg,Cinéma Beaubien,2396 Rue Beaubien E,Montréal,QC,H2G 1N2,45.5479996,-73.5920611,5.0,8,1,{'GoodForKids': 'True'},"Arts & Entertainment, Cinema","{'Monday': '10:0-22:0', 'Tuesday': '10:0-22:0', 'Wednesday': '10:0-22:0', 'Thursday': '10:0-22:0', 'Friday': '10:0-22:0', 'Saturday': '10:0-22:0', 'Sunday': '10:0-22:0'}"
7708,IZI9PtYy-zqi6cHYiQOxKw,Jubilations Calgary Dinner Theatre,1002 37 Street SW,Calgary,AB,T3C 1S1,51.0439381,-114.1402794,4.0,27,1,"{'RestaurantsAttire': ""u'casual'"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '3', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Alcohol': ""u'full_bar'"", 'WheelchairAccessible': 'True', 'OutdoorSeating': 'False', 'RestaurantsTakeOut': 'False', 'RestaurantsDelivery': 'False', 'GoodForKids': 'True', 'RestaurantsReservations': 'True', 'HasTV': 'True', 'Caters': 'False', 'WiFi': ""u'free'""}","Wine Bars, Bars, Performing Arts, Nightlife, Restaurants, Dinner Theater, Arts & Entertainment, Cinema","{'Monday': '10:0-18:0', 'Tuesday': '10:0-18:0', 'Wednesday': '10:0-19:30', 'Thursday': '10:0-19:30', 'Friday': '10:0-19:30', 'Saturday': '10:0-19:30', 'Sunday': '11:0-19:0'}"
8132,f6pn3jyK0lCrD6aLWK_VEw,Cineplex- Starcité,4825 Avenue Pierre-de Coubertin,Montréal,QC,H1V 3V4,45.5613787346,-73.5481807929,3.5,14,1,{'GoodForKids': 'True'},"Arts & Entertainment, Cinema","{'Monday': '12:0-23:0', 'Tuesday': '12:0-23:0', 'Wednesday': '12:0-23:0', 'Thursday': '12:0-23:0', 'Friday': '12:0-23:0', 'Saturday': '10:30-22:30', 'Sunday': '10:30-22:30'}"
8598,ZJKvmjBinGXEagy7l1na7Q,AMC Ahwatukee 24,4915 East Ray Rd,Phoenix,AZ,85044,33.3167894,-111.9773681,2.5,96,0,{'GoodForKids': 'True'},"Arts & Entertainment, Cinema",
8859,4RoTEeqB_MNn6yaqZmlZHg,Regal Cinemas Village Square 18,9400 W Sahara Ave,Las Vegas,NV,89117,36.1474013,-115.3003079,3.5,182,1,{'GoodForKids': 'True'},"Arts & Entertainment, Cinema","{'Monday': '11:0-23:0', 'Tuesday': '11:0-23:0', 'Wednesday': '11:0-23:0', 'Thursday': '11:0-23:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '11:0-23:0'}"
9052,AKPLL7N4yTidQF7xY8kneg,UltraStar Cinemas,9090  E Indian Bend Rd,Scottsdale,AZ,85250,33.5414882,-111.8854353,3.5,117,0,{'GoodForKids': 'True'},"Arts & Entertainment, Cinema",
9220,pJQSdbrtQQVstMUUIICSsA,Harkins Theatres Superstition Springs 25,6950 E Superstition Springs Blvd,Mesa,AZ,85209,33.386201,-111.681141,3.5,114,1,{'GoodForKids': 'True'},"Cinema, Arts & Entertainment","{'Monday': '10:0-23:0', 'Tuesday': '10:0-23:0', 'Wednesday': '10:0-23:0', 'Thursday': '10:0-23:0', 'Friday': '10:0-23:0', 'Saturday': '10:0-23:0', 'Sunday': '10:0-23:0'}"
9472,_qcW80PENfEiV6_Q4L48EQ,Cinema Moderne,5150 Boulevard St-Laurent,Montréal,QC,H2T 1R8,45.5234896689,-73.5940742586,5.0,3,1,,"Bars, Nightlife, Cafes, Restaurants, Cinema, Arts & Entertainment",
9498,q_q2ADTYBygQXQMOPrKTvg,Calgary International Film Festival,"214 11 Avenue SE, Unit 207",Calgary,AB,T2G 0X8,51.042375,-114.0600007,5.0,4,1,{'GoodForKids': 'True'},"Cinema, Arts & Entertainment, Festivals, Education",
10043,5hqGQR3YJni73ky8vMXG5w,Regal Cinemas Willoughby Commons 16,36655 Euclid Ave,Willoughby,OH,44094,41.631209,-81.424249,3.5,23,1,{'GoodForKids': 'True'},"Arts & Entertainment, Cinema","{'Monday': '11:0-23:0', 'Tuesday': '11:0-23:0', 'Wednesday': '11:0-23:0', 'Thursday': '11:0-23:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '11:0-23:0'}"
10393,n9e07UjPBtISh97tJywluw,Cineplex Odeon,20 Biscayne Crescent,Brampton,ON,L6W 4S1,43.6772404655,-79.7186437886,3.5,13,1,{'GoodForKids': 'True'},"Cinema, Arts & Entertainment",
11080,8WBHKj2davW6hhZWlUQ7DA,Zappos Theater at Planet Hollywood,3667 Las Vegas Blvd S,Las Vegas,NV,89109,36.1093993886,-115.1698082841,3.5,145,1,"{'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'False', 'RestaurantsGoodForGroups': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': True, 'trendy': False, 'upscale': False, 'casual': False}"", 'RestaurantsPriceRange2': '3', 'HappyHour': 'False', 'OutdoorSeating': 'False', 'GoodForDancing': 'False', 'BusinessParking': ""{'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': True}"", 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': True, 'video': False, 'karaoke': False}"", 'BikeParking': 'False', 'Smoking': ""u'no'"", 'NoiseLevel': ""u'very_loud'"", 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': False, 'sunday': True, 'saturday': True}"", 'Alcohol': ""'full_bar'"", 'CoatCheck': 'False', 'HasTV': 'False'}","Performing Arts, Nightlife, Music Venues, Stadiums & Arenas, Arts & Entertainment, Cinema","{'Monday': '10:0-20:0', 'Tuesday': '10:0-20:0', 'Wednesday': '10:0-20:0', 'Thursday': '10:0-20:0', 'Friday': '10:0-20:0', 'Saturday': '10:0-20:0', 'Sunday': '10:0-20:0'}"
11090,cUowzBUrVnWdg1WC52GBpw,MovieScoop Kent Plaza Cinemas,140 Cherry St,Kent,OH,44240,41.1411272,-81.3588015,3.5,10,1,{'GoodForKids': 'True'},"Cinema, Arts & Entertainment","{'Monday': '14:0-0:0', 'Tuesday': '14:0-0:0', 'Wednesday': '14:0-0:0', 'Thursday': '11:30-0:0', 'Friday': '11:30-0:0', 'Saturday': '11:30-0:0', 'Sunday': '11:30-0:0'}"
11186,O7EIj8Mee0mSMwmUpZ115Q,The Palms Theatre,5247 E Brown Rd,Mesa,AZ,85205,33.436073,-111.717758,4.0,33,0,{'GoodForKids': 'True'},"Performing Arts, Arts & Entertainment, Cinema","{'Monday': '9:0-17:0', 'Tuesday': '9:0-17:0', 'Wednesday': '9:0-17:0', 'Thursday': '9:0-17:0', 'Friday': '9:0-17:0', 'Saturday': '10:0-16:0'}"
11896,YPookhICD9PmjWAwxEZx0A,Medina Community Theater,139 W Liberty St,Medina,OH,44256,41.1391408,-81.8656104,4.0,4,1,,"Local Services, Arts & Entertainment, Cinema, Community Service/Non-Profit, Local Flavor",
12079,ZUyWD8Rs_JY_yzw-t6VTBg,AMC Centerpoint 11,730 S Mill Ave,Tempe,AZ,85281,33.4230714133,-111.941247749,4.0,154,1,{'GoodForKids': 'True'},"Arts & Entertainment, Cinema",
12759,Y-krKDi4Yne5BTL9CbrI6A,Centaur Theatre Company,453 Saint-Francois-Xavier Rue,Montréal,QC,H2Y 2T1,45.5034975,-73.5564581,4.0,7,1,{'GoodForKids': 'True'},"Performing Arts, Arts & Entertainment, Cinema",
13184,AUoIpxBmIodtP30KXyk9xA,Dickinson Theaters Palm Valley 14,1325 N Litchfield Rd,Goodyear,AZ,85395,33.4609396,-112.3561279,1.5,3,0,{'GoodForKids': 'True'},"Arts & Entertainment, Cinema",
13521,0OcfA96P0I33j8Te1wYOew,Redstone 14,9650 Redstone Dr,Indian Land,SC,29707,34.998644,-80.852688,3.5,14,1,,"Arts & Entertainment, Cinema",
13655,S97QaAoCbsX_I_2BO9eYBQ,Cinéma Cineplex Forum,"2313 Rue Sainte-Catherine O, Suite 101",Montréal,QC,H3H 1N2,45.490266,-73.584656,3.5,34,1,{'GoodForKids': 'True'},"Arts & Entertainment, Cinema",
14217,mOJ651DtGav9CZxuk43QfA,Cineplex Cinemas Pickering and VIP,1355 Kingston Rd,Pickering,ON,L1V 1B8,43.8361864,-79.0860415,4.0,6,1,{'GoodForKids': 'False'},"Cinema, Arts & Entertainment",
15027,ba9eVHrqHXZR66FqInlYNQ,Parkway Theater & Film Lounge,644 Broadway Ave,Mckees Rocks,PA,15136,40.4720227,-80.0724205,5.0,5,1,{'GoodForKids': 'False'},"Performing Arts, Arts & Entertainment, Cinema","{'Monday': '19:0-0:0', 'Tuesday': '17:0-0:0', 'Wednesday': '17:0-0:0', 'Thursday': '17:0-0:0', 'Friday': '17:0-1:0', 'Saturday': '16:0-1:0', 'Sunday': '13:0-17:0'}"
15079,D96gPj6zUPLJDfnWh9Jiaw,Eastgate Cinemas,5202 High Crossing Blvd,Madison,WI,53718,43.137259,-89.292203,2.5,15,0,{'GoodForKids': 'True'},"Arts & Entertainment, Cinema",
15386,GIPY7lBIIY8ITSfu63q-YQ,Regal Cinimas Phillips Place ,6911 Phillips Place Ct,Charlotte,NC,28210,35.145582,-80.8243619,3.0,106,1,{'GoodForKids': 'True'},"Arts & Entertainment, Cinema","{'Monday': '11:0-23:0', 'Tuesday': '11:0-23:0', 'Wednesday': '11:0-23:0', 'Thursday': '11:0-23:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '11:0-23:0'}"
15569,psWFACt7KyMbo5mYx4qMCA,Charleston Heights Arts Center,800 Brush St,Las Vegas,NV,89107,36.162306,-115.210964,4.0,5,1,{'GoodForKids': 'True'},"Specialty Schools, Dance Schools, Arts & Entertainment, Cultural Center, Cinema, Education, Performing Arts","{'Wednesday': '12:30-21:0', 'Thursday': '12:30-21:0', 'Friday': '12:30-21:0', 'Saturday': '9:0-18:0'}"
15670,JSjMfBQ654qyfVdE1CY76w,Cinéma Banque Scotia,977 Rue Sainte-Catherine O,Montréal,QC,H3B 4W3,45.50107,-73.572362,3.5,55,1,{'GoodForKids': 'True'},"Cinema, Arts & Entertainment",
16590,kPorLswaS8h4xy-notLk9Q,Arizona Science Center,600 E Washington St,Phoenix,AZ,85004,33.4486735,-112.066671,4.0,412,1,"{'ByAppointmentOnly': 'False', 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'True', 'BusinessAcceptsBitcoin': 'False', 'BusinessParking': ""{'garage': True, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '2'}","Museums, Educational Services, Education, Arts & Entertainment, Shopping, Cinema, Art Galleries","{'Monday': '0:0-0:0', 'Tuesday': '10:0-17:0', 'Wednesday': '10:0-17:0', 'Thursday': '10:0-17:0', 'Friday': '10:0-17:0', 'Saturday': '10:0-17:0', 'Sunday': '10:0-17:0'}"
16752,Rayj4BleJwlSP2mSR4yliw,Picture Show,"6555 E Southern Ave, Ste 1002",Mesa,AZ,85206,33.3908231242,-111.6896186181,3.0,17,1,{'GoodForKids': 'True'},"Arts & Entertainment, Cinema","{'Monday': '11:30-22:30', 'Tuesday': '11:30-22:30', 'Wednesday': '11:30-22:30', 'Thursday': '11:30-22:30', 'Friday': '11:30-22:30', 'Saturday': '11:30-22:30', 'Sunday': '11:30-22:30'}"
16765,Kn72wEO-qb5ecyFoFpTNNQ,Cineforum,463 Bathurst Street,Toronto,ON,M5T 2S9,43.6555957,-79.4071592,3.0,4,1,,"Cinema, Arts & Entertainment","{'Monday': '18:0-23:0', 'Tuesday': '18:0-23:0', 'Wednesday': '18:0-23:0', 'Thursday': '18:0-23:0', 'Saturday': '16:0-23:0', 'Sunday': '16:0-23:0'}"
16833,QPHU1AE3Fpxjhfiinv2LZg,Regal Cinemas Texas Station 18,2101 Texas Star Ln,North Las Vegas,NV,89032,36.1977963,-115.1918552,3.0,54,1,{'GoodForKids': 'True'},"Cinema, Arts & Entertainment","{'Monday': '11:0-23:0', 'Tuesday': '11:0-23:0', 'Wednesday': '11:0-23:0', 'Thursday': '11:0-23:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '11:0-23:0'}"
16841,SJ2-dfgQt5cOky4jWNZEPA,Imagine Cinemas,20 Carlton Street,Toronto,ON,M5B 2H5,43.6615376759,-79.3816805167,4.0,74,1,{'GoodForKids': 'True'},"Arts & Entertainment, Cinema","{'Monday': '13:0-22:0', 'Tuesday': '13:0-22:0', 'Wednesday': '13:0-22:0', 'Thursday': '13:0-22:0', 'Friday': '13:0-22:0', 'Saturday': '13:0-22:0', 'Sunday': '13:0-22:0'}"
17342,313RSoX1dXUYcgAwP14Ztg,Shaker Square Cinemas,13116 Shaker Sq,Cleveland,OH,44120,41.483283,-81.591508,3.0,24,1,{'GoodForKids': 'True'},"Cinema, Arts & Entertainment","{'Monday': '12:0-22:0', 'Tuesday': '11:0-23:0', 'Wednesday': '12:0-22:0', 'Thursday': '12:0-22:0', 'Friday': '12:0-22:0', 'Saturday': '12:0-22:0', 'Sunday': '12:0-22:0'}"
17443,wMIHcDnQXGTIVwBnIDRwGw,Sun Valley 14,6449 Old Monroe Rd,Indian Trail,NC,28079,35.0488967896,-80.6479415894,4.0,42,1,{'GoodForKids': 'True'},"Cinema, Arts & Entertainment",
17783,c163MT4vFQD5PEIfoHZLxA,Soulpepper Theatre Company,50 Tank House Lane,Toronto,ON,M5A 3C4,43.6508582,-79.3574587,4.5,11,1,"{'GoodForKids': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BikeParking': 'True', 'Alcohol': ""u'beer_and_wine'"", 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}"", 'HasTV': 'False', 'OutdoorSeating': 'False', 'RestaurantsPriceRange2': '2', 'RestaurantsGoodForGroups': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}","Performing Arts, Arts & Entertainment, Cinema, Nightlife, Music Venues","{'Tuesday': '13:0-20:0', 'Wednesday': '13:0-20:0', 'Thursday': '13:0-20:0', 'Friday': '13:0-20:0', 'Saturday': '13:0-20:0'}"
18401,TpoM6HVMIsbDiu9-vDn_Qw,Movies 10,9508 Northeast Pkwy,Matthews,NC,28105,35.139599,-80.715163,3.0,9,1,{'GoodForKids': 'True'},"Arts & Entertainment, Cinema","{'Monday': '11:0-23:0', 'Tuesday': '11:0-23:0', 'Wednesday': '11:0-23:0', 'Thursday': '11:0-23:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '11:0-23:0'}"
18849,eV0CIF_AuIMRQfU15BrbBw,Cineplex Cinemas East Hills,205 E Hills Blvd SE,Calgary,AB,T1X 1G6,51.040122288,-113.9107309654,4.0,3,1,,"Cinema, Arts & Entertainment",
19345,0YoNwscylhufDwEAaWG0bQ,Landmark Cinemas,300-388 Country Hills Boulevard NE,Calgary,AB,T3K 5A6,51.1541605,-114.0637971,4.0,33,1,{'GoodForKids': 'True'},"Arts & Entertainment, Cinema","{'Monday': '11:30-22:30', 'Tuesday': '11:30-22:30', 'Wednesday': '11:30-22:30', 'Thursday': '11:30-22:30', 'Friday': '11:30-22:30', 'Saturday': '10:0-22:30', 'Sunday': '10:0-22:30'}"
19569,FhoPNLVCEnzGzwjxD5FU9A,Ontario Place,955 Lake Shore Boulevard W,Toronto,ON,M6K 3B9,43.629865,-79.418554,3.0,19,1,"{'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'BikeParking': 'True', 'DogsAllowed': 'True', 'WheelchairAccessible': 'True'}","Amusement Parks, Cinema, Music Venues, Arts & Entertainment, Parks, Local Flavor, Venues & Event Spaces, Event Planning & Services, Active Life, Nightlife",
20245,F8FHXQBpMu1erLSTwUxYeQ,Harkins Theatres Scottsdale 101 14,7000 E Mayo Blvd,Phoenix,AZ,85054,33.6581440499,-111.9323896862,4.0,164,1,{'GoodForKids': 'True'},"Cinema, Arts & Entertainment","{'Monday': '9:30-23:0', 'Tuesday': '9:30-23:0', 'Wednesday': '9:30-23:0', 'Thursday': '9:30-23:0', 'Friday': '9:30-23:0', 'Saturday': '9:30-23:0', 'Sunday': '9:30-23:0'}"
20779,74poODb0oW_Z5wjskXXSMg,Marcus Theatres Information,5202 High Crossing Blvd,Madison,WI,53718,43.137259,-89.292203,2.5,3,0,{'GoodForKids': 'True'},"Arts & Entertainment, Cinema",
21959,Bv-9BaqF6S_BaxNjWUlk8g,United Artists Theaters,9090 E Indian Bend Rd,Scottsdale,AZ,85250,33.5414882,-111.8854353,2.5,6,0,{'GoodForKids': 'True'},"Arts & Entertainment, Cinema",
22469,BxKe9Xt_fN6qBzrTofHuEQ,AMC Town Square 18,6587 Las Vegas Blvd S,Las Vegas,NV,89119,36.0681852444,-115.1785192799,3.5,664,1,{'GoodForKids': 'True'},"Cinema, Arts & Entertainment",
22471,4SxJGlf9KCEoP2XWU2jmlQ,Cineplex Odeon Corporation Crowfoot Terrace,91 Crowfoot Terrace NW,Calgary,AB,T3G 2L5,51.1271193,-114.2021232,3.0,17,1,{'GoodForKids': 'True'},"Cinema, Arts & Entertainment",
22853,CFqQ_6fZpeG8InnWJdf3qg,Toronto Centre For the Arts,5040 Yonge Street,North York,ON,M2N 6R8,43.7660754,-79.4142973,4.0,13,1,{'GoodForKids': 'True'},"Cinema, Arts & Entertainment, Event Planning & Services, Venues & Event Spaces, Performing Arts","{'Tuesday': '13:0-18:0', 'Wednesday': '13:0-18:0', 'Thursday': '13:0-18:0', 'Friday': '13:0-18:0', 'Saturday': '13:0-18:0'}"
23286,msCDKq6t6PhdBOtpGqG2KQ,Projection Booth Cinema,1035 Gerrard Street E,Toronto,ON,M4M 1Z6,43.6686758,-79.3368163,3.0,4,0,"{'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}","Music Venues, Arts & Entertainment, Performing Arts, Cinema, Nightlife","{'Tuesday': '10:0-23:0', 'Wednesday': '10:0-23:0', 'Thursday': '10:0-23:0', 'Friday': '10:0-23:0', 'Saturday': '10:0-23:0', 'Sunday': '10:0-23:0'}"
